,Stromal,B cells,T cells,Macrophage,Epithelial (basal),Epithelial (luminal),Other
BaselTMA_SP41_133_X3Y6_3169,0.07065533528740767,0.11961099268040802,0.2002969949131709,0.2301806928885561,0.19554954632055238,0.08488117869331115,0.09882525921659388
BaselTMA_SP41_126_X14Y7_637,0.046369183567062135,0.09940221204060358,0.12780105491323307,0.06169607613694923,0.28419452510658194,0.3151774289006839,0.06535951933488608
BaselTMA_SP41_153_X7Y5_316,0.20081835786671426,0.1339834472210336,0.16688010324623465,0.33398836009629057,0.030187324194680606,0.028202475901543,0.10593993147350338
BaselTMA_SP41_100_X15Y5_3182,0.016739170845420478,0.05219031016071167,0.05912346715342408,0.03797285791577184,0.19635615720523542,0.6008456071576512,0.03677242956178519
BaselTMA_SP41_104_X8Y4_175_1418,0.07468717330193052,0.11777825947320941,0.2727162758838527,0.40468888164443756,0.01669569976378736,0.006994051667400493,0.10643965826538188
BaselTMA_SP41_191_X15Y7_4,0.05674909348301631,0.09644119942728295,0.17319579657132322,0.13373019898249716,0.26115514763575126,0.17382877845621178,0.10489978544391738
BaselTMA_SP41_126_X14Y7_390,0.08844514588421228,0.1076916392055747,0.2619949687094138,0.22001639250549865,0.1297110834692954,0.05655682284841567,0.13558394737758964
BaselTMA_SP41_135_X8Y5_15,0.0019798812827625713,0.011735268371338573,0.006615770454983744,0.003317032448172455,0.06115223670995601,0.9088043173500582,0.006395493382728397
BaselTMA_SP41_135_X8Y5_3269,0.026506212179640047,0.06845122616725674,0.07096343533723581,0.05048556443776981,0.2325474211303362,0.49751908702077485,0.053527053726986545
BaselTMA_SP41_186_X5Y4_2055,0.16646767224289014,0.12506403538554708,0.30395157033934417,0.22641865742137898,0.020588513911819577,0.02354366804729715,0.1339658826517228
BaselTMA_SP41_166_X15Y4_2203,0.13458359431511527,0.10421810350936116,0.35031174689106914,0.24402485556419387,0.010342351826156485,0.013228080595697281,0.14329126729840677
BaselTMA_SP41_100_X15Y5_1530,0.07987115060362512,0.11362828249372488,0.2892865977633337,0.3654834621761774,0.021583475031614046,0.010041925412410333,0.12010510651911448
BaselTMA_SP41_186_X6Y4_501,0.16898243917470465,0.12263707778055936,0.1676647870669896,0.4220085782337453,0.013053296334928712,0.015314226721752026,0.09033959468732047
BaselTMA_SP41_133_X3Y6_3842,0.05457743225824823,0.08684783558382628,0.14394600704823954,0.03485439015152713,0.5275621138006626,0.0931716929581155,0.0590405281993807
BaselTMA_SP41_14_X1Y8_294,0.16069091817005976,0.12506582066636665,0.17572056243986786,0.3725831161026511,0.03430364166449744,0.02788949699308033,0.10374644396347682
BaselTMA_SP41_101_X10Y8_1109,0.018496367022953927,0.06323565884358043,0.07819632246256983,0.05357423355583183,0.26361211868557993,0.4780330065904281,0.04485229283905593
BaselTMA_SP41_165_X5Y6_151,0.19361254734388336,0.16113165698705798,0.2120864508124853,0.3039127419105599,0.014417786684734984,0.025325791256909504,0.08951302500436889
BaselTMA_SP41_114_X13Y4_1057,0.04222894236257186,0.08957499762277786,0.11802201151718246,0.05838899842128082,0.29429441759409386,0.337233115866402,0.06025751661569136
BaselTMA_SP41_141_X11Y2_2596,0.025714451259666985,0.07300094337045818,0.09696007084707796,0.06762084228920846,0.2587067267453807,0.42558157129880303,0.052415394189404635
BaselTMA_SP41_100_X15Y5_170,0.17325567277498563,0.16113471710046082,0.17787315356334232,0.24717964062621844,0.06857698127821893,0.07555307768144523,0.09642675697532857
BaselTMA_SP41_14_X1Y8_2604,0.16489456862454321,0.13190156026555772,0.22907281842775024,0.351365582673664,0.007140292456401106,0.015819202131294237,0.09980597542078945
BaselTMA_SP41_186_X5Y4_81,0.16895359827774997,0.17122299767449534,0.34028031864771197,0.16472243139142528,0.023304987527929873,0.022166518858768938,0.10934914762191886
